word1,word2,freq
data,science,3269
pastor,andi,2602
machine,learning,2174
cognitive,class,1637
ibm,cognitive,1607
artificial,intelligence,1267
andi,simon,1143
ibm,cloud,952
ibm,watson,839
medium,social,813
healing,center,703
hybrid,cloud,692
bogota,ibm,661
pastor,bogota,661
assassins,creed,651
primary,school,627
quantum,computing,591
buffalo,rides,579
data,analysis,556
deep,blue,538
charges,applicable,522
watson,health,495
hp,ibm,480
ibm,structure,451
job,seekers,447
ibm,recruitment,442
international,business,439
transfer,protocol,421
software,engineer,415
ibm,data,412
deep,learning,396
skills,consultancy,386
customer,service,379
scientific,meditation,377
online,courses,375
causa,aduana,372
data,visualization,370
supply,chain,368
project,management,365
mark,dean,359
brian,tracy,356
business,machines,348
real,time,346
duty,black,341
updated,resume,340
black,ops,338
watch,dogs,335
digital,marketing,333
cloud,computing,328
scientific,mediation,328
tomb,raider,327
john,snow,325
professional,certificate,321
pc,games,319
snow,labs,319
career,registration,318
digital,health,315
details,contact,311
packet,access,308
silicon,valley,307
referrals,ibm,305
application,developer,300
joining,charges,299
elon,musk,294
ibm,career,294
adobe,illustrator,293
ibm,quantum,290
ibm,ibm,289
avast,premium,286
adobe,lightroom,284
activation,tool,283
water,heater,279
ibm,cognizant,278
mobile,communication,278
adobe,audition,277
health,pass,276
job,locations,275
mediation,channel,274
software,developer,272
data,entry,267
contact,share,266
kindly,contact,266
coca,cola,265
data,scientist,265
fl,studio,265
red,alert,265
washing,machine,265
power,supply,261
channel,live,260
ibm,pc,257
graphics,array,256
ibm,security,256
job,openings,254
practice,exam,254
universal,mobile,254
bulk,hiring,252
identity,module,252
subscriber,identity,252
markup,language,250
hard,disk,249
cloud,satellite,247
jersey,city,246
plaza,ibm,245
adobe,premiere,243
african,american,243
adobe,master,241
avenue,plaza,239
black,history,239
internet,protocol,239
clip,studio,237
edwin,black,235
studio,paint,235
utilities,common,235
weekly,cleaning,235
adobe,character,234
santa,rosa,234
ps,andi,233
watch,health,233
character,animator,230
history,month,229
job,code,228
purchase,bonus,228
tokens,level,228
international,women,227
training,fee,226
screen,recorder,225
private,limited,224
download,manager,223
internet,download,223
digital,transformation,222
meditation,trainer,222
health,yoga,220
stanford,university,220
water,filter,219
wireless,fidelity,219
source,hp,218
emotions,health,217
eq,emotions,217
serial,bus,217
universal,serial,216
audio,video,214
excelsior,pass,213
online,learning,211
salary,package,211
real,estate,210
minutes,episode,209
technology,centre,209
viewing,kindly,208
application,descriptor,206
data,analytics,206
java,application,206
quiz,answer,206
rides,ibm,206
religious,bias,204
ibm,teaching,203
science,machine,203
teaching,meditation,202
video,interleave,202
light,emitting,200
online,virtual,200
table,chair,200
resource,locator,199
service,provider,199
emitting,diode,198
graphic,interchangeable,198
rafael,correa,198
airdrop,bot,197
bedframe,mattress,197
joint,photographic,197
condition,cooler,196
portable,network,196
filter,water,195
uniform,resource,195
water,dispenser,195
generation,project,194
interchangeable,format,194
java,archive,194
partnership,project,194
photographic,expert,194
time,streaming,194
master,collection,193
safe,excel,193
video,graphics,193
advanced,audio,192
audio,coding,192
generation,partnership,192
installer,file,192
mobile,telecommunication,192
joining,bonus,191
protocol,secure,190
driver,easy,188
aula,virtual,186
competitive,salary,186
paint,tool,185
campus,drive,184
middle,east,184
rate,codec,182
class,online,181
san,francisco,180
online,training,179
training,centres,179
climate,change,178
company,ibm,178
sponsoring,opportunity,178
science,tools,177
technical,support,177
business,management,176
tech,companies,176
covered,partial,175
initial,payment,175
flight,simulator,173
data,analyst,172
online,conference,172
piece,pirate,172
pirate,warrior,172
ibm,banco,171
business,intelligence,170
video,file,170
deposit,rental,169
hot,pursuit,168
ninja,storm,168
speed,hot,168
speed,payback,167
waveform,audio,165
dying,light,164
elder,scrolls,164
shock,wave,164
wave,flash,164
python,online,163
titan,wings,163
training,opportunity,163
monster,hunter,162
noise,cancelling,162
carnegie,mellon,160
theresa,primary,160
current,affairs,159
payment,method,157
windows,server,154
send,phone,153
