word1,word2,freq
music,music,208
left,hand,194
game,pass,172
wait,wait,139
hand,corner,129
cookie,company,114
power,platform,109
machine,learning,105
kevin,cookie,95
xbox,series,94
xbox,game,92
mixed,reality,91
virtual,machine,91
music,applause,89
yeah,yeah,87
applause,music,81
active,directory,78
andrew,brown,77
power,automate,77
pivot,table,72
real,time,68
presenter,view,64
quick,access,63
data,center,61
dot,dot,61
conditional,formatting,60
virtual,network,60
access,toolbar,58
cloud,computing,58
youtube,channel,57
subscribe,button,56
storage,account,53
flight,simulator,51
visual,studio,49
virtual,machines,48
cloud,service,47
dot,menu,46
pretty,cool,46
surface,laptop,46
ip,address,44
load,balancer,44
real,life,44
teams,meeting,44
xbox,live,43
live,event,41
time,bye,41
